"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Barbados","BRB","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.37","","","","","","1.93","","","","","","","","","","","","11.147","8.842","9.866","9.57","9.431","","12.487","8.425","7.462","",
"Brunei Darussalam","BRN","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.299","","","10.437","8.948","8.587","7.673","7.383","5.095","6.565","",
"Bhutan","BTN","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.73","3.59","","3.71","2.33","","1.39","","","7.061","3.309","6.231","5.102","5.161","2.205","2.779",
"Botswana","BWA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.478","","","21.115","21.03","","","","","","","","","22.748","22.216","27.22","25.352","27.148","26.526",
"Central African Republic","CAF","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.226","15.355","17.452","17.065","16.276","15.065","15.557","15.818","14.621","13.655","12.524","12.926","13.983","13.743","13.488","12.482","12.466","12.129","11.952","16.073","16.17","15.58","15.137","14.569","14.258","14.13","14.072","12.871","11.776","11.537","17.026","14.532","11.304","11.711","13.758",
"Central Europe and the Baltics","CEB","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8312901121119","15.6312105718978","13.2788906949854","15.8479186390345","20.0519592811022","23.4825105170777","23.8647489654878","24.1715093875921","24.3680583306341","23.9338005405152","20.6576546703982","16.5005985729362","14.552384833958","19.0048453499667","21.5687230303101","21.6362742268695","22.4740626349858","22.2393309473876","20.4846502589442","16.6353077037853","14.318130115326","12.4966942260637","10.5538205023705","9.94350126018834","11.4218852491378","13.2677244860726","13.0738824422177","13.1870897302501","13.7516670222337",
"Switzerland","CHE","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.916","2.918","4.61","5.141","5.505","6.257","6.825","5.396","5.475","4.702","5.366","5.066","6.732","7.773","8.022","7.347","6.773","6.309","7.968","8.33","8.178","8.303","8.555","8.253","8.697","9.503","8.195","7.841","7.939","8.266","9.348","7.916","7.64","8.368",
"Channel Islands","CHI","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.994","","11.901","","","10.056","","","4.1","5.01","","10.915","8.814","7.264","6.661","6.429","6.76","6.593","6.359","6.746","7.32","6.987","11.108","9.169","8.56","9.449","9.106",
